夏至未至,夏至未至,夏至未至,夏至未至,无证之罪,无证之罪,无证之罪,无证之罪,白鹿原,白鹿原,白鹿原,白鹿原,楚乔传,楚乔传,楚乔传,楚乔传,三生三世十里桃花,三生三世十里桃花,三生三世十里桃花,三生三世十里桃花,河神,河神,河神,河神,人民的名义,人民的名义,人民的名义,人民的名义,思美人,思美人,思美人,思美人,我的前半生,我的前半生,我的前半生,我的前半生,择天记,择天记,择天记,择天记,醉玲珑,醉玲珑,醉玲珑,醉玲珑,卧底归来,卧底归来,卧底归来,卧底归来
"""20170611""",9291891,2017-6-10,182302,"""20170906""",27053343,2017-9-5,3307,"""20170416""",358278,2017-4-15,15046,"""20170605""",35482169,2017-6-4,88672,"""20170110""",773267,2017-1-9,685998,"""20170719""",137538801,2017-7-18,958,"""20170328""",39383,2017-3-27,8384,"""20170428""",3944016,27-Apr,349502,"""20170704""",3551448,3-Jul,17618,"""20170713""",113710453,12-Jul,7938,"""20170713""",26567364,12-Jul,212758,"""20170417""",404,16-Apr,154
"""20170612""",2056644137,2017-6-11,529965,"""20170907""",231737372,2017-9-6,7253,"""20170417""",677553,2017-4-16,73172,"""20170606""",4336445241,2017-6-5,361266,"""20170111""",673100,2017-1-10,830040,"""20170720""",1058076680,2017-7-19,25120,"""20170329""",22860138,2017-3-28,17225,"""20170429""",344887048,28-Apr,605901,"""20170705""",417784622,4-Jul,75622,"""20170714""",115003716,13-Jul,13404,"""20170714""",1519145946,13-Jul,423861,"""20170418""",555,17-Apr,148
"""20170613""",2812188723,2017-6-12,301299,"""20170908""",268386458,2017-9-7,6384,"""20170418""",2045682,2017-4-17,30738,"""20170607""",9214904717,2017-6-6,214153,"""20170112""",511238,2017-1-11,552129,"""20170721""",715904699,2017-7-20,19499,"""20170330""",159389055,2017-3-29,13558,"""20170430""",585346623,29-Apr,424546,"""20170706""",1143384126,5-Jul,29446,"""20170715""",140919996,14-Jul,10688,"""20170715""",3102393067,14-Jul,350308,"""20170419""",704,18-Apr,151
"""20170614""",3453351253,2017-6-13,247333,"""20170909""",162552285,2017-9-8,6255,"""20170419""",4538007,2017-4-18,27332,"""20170608""",13983315224,2017-6-7,212555,"""20170113""",335490,2017-1-12,791898,"""20170722""",454957973,2017-7-21,17219,"""20170331""",506571905,2017-3-30,41755,"""20170501""",1436431671,30-Apr,423185,"""20170707""",2061753774,6-Jul,49674,"""20170716""",158371358,15-Jul,7896,"""20170716""",1969432343,15-Jul,225084,"""20170420""",604,19-Apr,122
"""20170615""",3507154263,2017-6-14,241731,"""20170910""",128634753,2017-9-9,8857,"""20170420""",4851669,2017-4-19,8568,"""20170609""",17507723219,2017-6-8,200925,"""20170114""",1194739,2017-1-13,609512,"""20170723""",413127721,2017-7-22,5341,"""20170401""",691572194,2017-3-31,36626,"""20170502""",1318819290,1-May,325343,"""20170708""",4283824096,7-Jul,61139,"""20170717""",147191673,16-Jul,6821,"""20170717""",1063615132,16-Jul,167320,"""20170421""",219,20-Apr,87
"""20170616""",4015036808,2017-6-15,241877,"""20170911""",98448643,2017-9-10,3588,"""20170421""",5297082,2017-4-20,5586,"""20170610""",9259532320,2017-6-9,164134,"""20170115""",1205710,2017-1-14,625780,"""20170724""",255711065,2017-7-23,4343,"""20170402""",1286076785,2017-4-1,50852,"""20170503""",1318819290,2-May,272513,"""20170709""",4805765463,8-Jul,54317,"""20170718""",142026653,17-Jul,11405,"""20170718""",471214339,17-Jul,162255,"""20170422""",251,21-Apr,101
"""20170617""",4606747889,2017-6-16,163848,"""20170912""",79526323,2017-9-11,3507,"""20170422""",6684612,2017-4-21,5527,"""20170611""",5947854979,2017-6-10,159222,"""20170116""",833901,2017-1-15,653773,"""20170725""",214009794,2017-7-24,3666,"""20170403""",2757551888,2017-4-2,36690,"""20170504""",1318819290,3-May,324601,"""20170710""",6374690767,9-Jul,37300,"""20170719""",132929040,18-Jul,7214,"""20170719""",350229634,18-Jul,149604,"""20170423""",1485,22-Apr,160
"""20170618""",4407234058,2017-6-17,118760,"""20170913""",126312739,2017-9-12,3782,"""20170423""",7819821,2017-4-22,9805,"""20170612""",4329645010,2017-6-11,122407,"""20170117""",1475779,2017-1-16,505839,"""20170726""",531346053,2017-7-25,7298,"""20170404""",4312943933,2017-4-3,78612,"""20170505""",1318819290,4-May,279329,"""20170711""",7985534628,10-Jul,55734,"""20170720""",124207668,19-Jul,8319,"""20170720""",288282011,19-Jul,148091,"""20170424""",1642,23-Apr,168
"""20170619""",5305129292,2017-6-18,105265,"""20170914""",243013594,2017-9-13,5554,"""20170424""",5472368,2017-4-23,6509,"""20170613""",17620851806,2017-6-12,148540,"""20170118""",7504737,2017-1-17,457276,"""20170727""",1656117587,2017-7-26,20753,"""20170405""",5684546264,2017-4-4,126046,"""20170506""",1318819290,5-May,220624,"""20170712""",10492774582,11-Jul,79080,"""20170721""",114221212,20-Jul,7573,"""20170721""",1531416983,20-Jul,213741,"""20170425""",2941,24-Apr,335
"""20170620""",4719298518,2017-6-19,111959,"""20170915""",231241347,2017-9-14,5620,"""20170425""",5257615,2017-4-24,2065,"""20170614""",21789344417,2017-6-13,199663,"""20170119""",6158034,2017-1-18,441250,"""20170728""",1481527981,2017-7-27,40503,"""20170406""",8308405575,2017-4-5,117718,"""20170507""",1926868629,6-May,247940,"""20170713""",13649087351,12-Jul,80829,"""20170722""",110381593,21-Jul,7096,"""20170722""",2686227891,21-Jul,337037,"""20170426""",8108,25-Apr,98
